Date,Open,High,Low,Close
1/3/2000,4186.19,4192.19,3989.71,4131.15
1/4/2000,4020,4073.25,3898.23,3901.69
1/5/2000,3854.35,3924.21,3734.87,3877.54
1/6/2000,3834.44,3868.76,3715.62,3727.13
1/7/2000,3711.09,3882.67,3711.09,3882.62
1/10/2000,4002.23,4072.36,3958.83,4049.67
1/11/2000,4031.38,4066.66,3904.82,3921.19
1/12/2000,3950.95,3950.98,3834.53,3850.02
1/13/2000,3915.14,3957.47,3858.22,3957.21
1/14/2000,4045.72,4091.95,4045.72,4064.27
1/18/2000,4059.65,4148,4053.21,4130.81
1/19/2000,4116.27,4164.65,4084.73,4151.29
1/20/2000,4205.06,4227.35,4143.61,4189.51
1/21/2000,4236.65,4238,4168.3,4235.4
1/24/2000,4290.38,4303.15,4095.31,4096.08
1/25/2000,4124.75,4167.63,4028.51,4167.41
1/26/2000,4174.72,4174.72,4069.91,4069.91
1/27/2000,4120.5,4140.09,3973.59,4039.56
1/28/2000,4010.14,4048.31,3856.23,3887.07
1/31/2000,3873.84,3940.46,3748.03,3940.35
2/1/2000,3961.07,4053.16,3911.84,4051.98
2/2/2000,4059.03,4125.75,4051.44,4073.96
2/3/2000,4134.65,4211.06,4085.53,4210.98
2/4/2000,4242.15,4294.84,4229.2,4244.14
2/7/2000,4245.23,4321.96,4244.74,4321.77
2/8/2000,4370.01,4428.48,4370.01,4427.5
2/9/2000,4460.18,4460.76,4362.74,4363.24
2/10/2000,4390.16,4485.67,4357.69,4485.63
2/11/2000,4489.33,4489.79,4360.54,4396.25
2/14/2000,4434.38,4435.96,4355.54,4418.55
2/15/2000,4415.52,4440.62,4291.1,4420.77
2/16/2000,4427.19,4477.64,4413.66,4427.65
2/17/2000,4483.01,4553.14,4444.75,4548.92
2/18/2000,4563.72,4564.45,4404.61,4411.74
2/22/2000,4432.83,4443.94,4291.01,4382.12
2/23/2000,4406.88,4567.97,4401.38,4550.33
2/24/2000,4583.89,4620.03,4495.2,4617.65
2/25/2000,4618.83,4662.93,4576.19,4590.5
2/28/2000,4575.07,4626.72,4466.42,4577.85
2/29/2000,4653.21,4698.46,4637.17,4696.69
3/1/2000,4732.82,4796.9,4732.82,4784.08
3/2/2000,4816.81,4829.01,4705.45,4754.51
3/3/2000,4846.01,4914.79,4813.82,4914.79
3/6/2000,4887.88,4980.15,4887.88,4904.85
3/7/2000,4991.97,5006.78,4829.88,4847.84
3/8/2000,4920.86,4923.14,4722.14,4897.26
3/9/2000,4913.08,5047.96,4857.57,5046.86
3/10/2000,5060.34,5132.52,5039.35,5048.62
3/13/2000,4879.03,5027.73,4839.26,4907.24
3/14/2000,4997.31,5013.49,4706.62,4706.62
3/15/2000,4758.44,4758.44,4553.92,4582.68
3/16/2000,4658.44,4717.76,4455.1,4717.39
3/17/2000,4702.03,4805.94,4702.03,4798.13
3/20/2000,4812.14,4822.7,4610,4610
3/21/2000,4589.52,4712.24,4467.53,4711.68
3/22/2000,4750.54,4900.42,4736.9,4864.75
3/23/2000,4874.17,4975.66,4865.11,4940.61
3/24/2000,4986.54,5078.86,4902.83,4963.03
3/27/2000,4994.42,5022.23,4946.61,4958.56
3/28/2000,4939.05,4952.93,4833.97,4834
3/29/2000,4860.02,4860.02,4641.01,4644.67
3/30/2000,4540.44,4683.88,4355.69,4457.89
3/31/2000,4550.21,4606.48,4381.38,4572.88
4/3/2000,4494.89,4504.36,4193.1,4223.68
4/4/2000,4283.45,4283.45,3649.11,4148.89
4/5/2000,4025.9,4286.88,4009.09,4169.22
4/6/2000,4266.8,4324.09,4196.51,4267.56
4/7/2000,4354.13,4446.45,4323.18,4446.45
4/10/2000,4475.2,4475.2,4188.17,4188.2
4/11/2000,4094.61,4182.96,4009.52,4055.9
4/12/2000,4050.32,4077.92,3769.17,3769.53
4/13/2000,3839.56,3914.68,3676.67,3676.78
4/14/2000,3597.44,3615.64,3265.98,3321.29
4/17/2000,3232.94,3539.77,3227.04,3539.16
4/18/2000,3584.22,3794.97,3563.83,3793.57
4/19/2000,3832.65,3851.56,3698.33,3706.41
4/20/2000,3735.08,3751.33,3599.68,3643.88
4/24/2000,3466.69,3496.82,3345.25,3482.48
4/25/2000,3592.73,3711.57,3583.92,3711.23
4/26/2000,3629.36,3777.08,3629.36,3630.09
4/27/2000,3519.13,3774.11,3513.76,3774.03
4/28/2000,3830.61,3873.85,3810.06,3860.66
5/1/2000,3930.18,3982.38,3899.71,3958.08
5/2/2000,3927.92,3948.63,3784.54,3785.45
5/3/2000,3755.3,3759.21,3592.79,3707.31
5/4/2000,3723.27,3762.47,3679.43,3720.24
5/5/2000,3694.28,3818.4,3694.28,3816.82
5/8/2000,3758.46,3765.22,3669.11,3669.38
5/9/2000,3704.85,3708.74,3540.82,3585.01
5/10/2000,3525.02,3531.48,3367.06,3384.73
