Date,Open,High,Low,Close
,,,,
2000/8/30,8.806089289,8.806089289,8.806089289,8.806089289
2000/8/31,8.835024765,8.947552378,8.835024765,8.947552378
2000/9/1,8.9057568,8.9057568,8.9057568,8.9057568
2000/9/2,8.9057568,8.9057568,8.9057568,8.9057568
2000/9/3,8.9057568,8.9057568,8.9057568,8.9057568
2000/9/4,8.9057568,8.9057568,8.9057568,8.9057568
2000/9/5,8.867175511,8.867175511,8.867175511,8.867175511
2000/9/6,8.815735102,8.815735102,8.815735102,8.815735102
2000/9/7,8.80930456,8.80930456,8.80930456,8.80930456
2000/9/8,8.786798645,8.786798645,8.786798645,8.786798645
2000/9/9,8.786798645,8.786798645,8.786798645,8.786798645
2000/9/10,8.786798645,8.786798645,8.786798645,8.786798645
2000/9/11,8.780369084,8.780369084,8.780369084,8.780369084
2000/9/12,8.773938542,8.773938542,8.773938542,8.773938542
2000/9/13,8.770723271,8.770723271,8.770723271,8.770723271
2000/9/14,8.757863169,8.757863169,8.757863169,8.757863169
2000/9/15,8.754647898,8.754647898,8.754647898,8.754647898
2000/9/16,8.754647898,8.754647898,8.754647898,8.754647898
2000/9/17,8.754647898,8.754647898,8.754647898,8.754647898
2000/9/18,8.725712422,8.725712422,8.725712422,8.725712422
2000/9/19,8.741787796,8.741787796,8.741787796,8.741787796
2000/9/20,8.648550827,8.648550827,8.648550827,8.648550827
2000/9/21,8.690346405,8.690346405,8.690346405,8.690346405
2000/9/22,8.738572525,8.738572525,8.738572525,8.738572525
2000/9/23,8.738572525,8.738572525,8.738572525,8.738572525
2000/9/24,8.738572525,8.738572525,8.738572525,8.738572525
2000/9/25,8.812519831,8.812519831,8.812519831,8.812519831
2000/9/26,8.806089289,8.806089289,8.806089289,8.806089289
2000/9/27,8.950767648,8.950767648,8.950767648,8.950767648
2000/9/28,8.921832173,8.921832173,8.844670577,8.860745951
2000/9/29,8.828595204,8.828595204,8.745003067,8.796444457
2000/9/30,8.828595204,8.828595204,8.745003067,8.796444457
2000/10/1,8.828595204,8.828595204,8.745003067,8.796444457
2000/10/2,8.770723271,8.793229187,8.76107844,8.780369084
2000/10/3,8.748218338,8.770723271,8.728927693,8.732142964
2000/10/4,8.696776947,8.71285232,8.683916844,8.690346405
2000/10/5,8.690346405,8.699992218,8.680701574,8.699992218
2000/10/6,8.674271032,8.687132115,8.658195658,8.658195658
2000/10/7,8.674271032,8.687132115,8.658195658,8.658195658
2000/10/8,8.674271032,8.687132115,8.658195658,8.658195658
2000/10/9,8.651766098,8.683916844,8.651766098,8.683916844
2000/10/10,8.757863169,8.757863169,8.757863169,8.757863169
2000/10/11,8.76107844,8.793229187,8.696776947,8.696776947
2000/10/12,8.80930456,8.886466155,8.80930456,8.886466155
2000/10/13,8.815735102,8.815735102,8.757863169,8.757863169
2000/10/14,8.815735102,8.815735102,8.757863169,8.757863169
2000/10/15,8.815735102,8.815735102,8.757863169,8.757863169
2000/10/16,8.728927693,8.728927693,8.728927693,8.728927693
2000/10/17,8.716067591,8.716067591,8.716067591,8.716067591
2000/10/18,8.690346405,8.690346405,8.690346405,8.690346405
2000/10/19,8.683916844,8.683916844,8.683916844,8.683916844
2000/10/20,8.719282862,8.719282862,8.719282862,8.719282862
2000/10/21,8.719282862,8.719282862,8.719282862,8.719282862
2000/10/22,8.719282862,8.719282862,8.719282862,8.719282862
2000/10/23,8.735358235,8.735358235,8.683916844,8.683916844
2000/10/24,8.674271032,8.683916844,8.674271032,8.683916844
2000/10/25,8.558529129,8.587464605,8.552098587,8.558529129
2000/10/26,8.552098587,8.584249334,8.51673257,8.51673257
2000/10/27,8.536023214,8.536023214,8.500657197,8.500657197
2000/10/28,8.536023214,8.536023214,8.500657197,8.500657197
2000/10/29,8.536023214,8.536023214,8.500657197,8.500657197
2000/10/30,8.497441926,8.497441926,8.497441926,8.497441926
2000/10/31,8.503872467,8.519947841,8.503872467,8.51673257
2000/11/1,8.484581823,8.484581823,8.484581823,8.484581823
2000/11/2,8.500657197,8.500657197,8.500657197,8.500657197
2000/11/3,8.507087738,8.507087738,8.507087738,8.507087738
2000/11/4,8.507087738,8.507087738,8.507087738,8.507087738
2000/11/5,8.507087738,8.507087738,8.507087738,8.507087738
2000/11/6,8.503872467,8.503872467,8.503872467,8.503872467
2000/11/7,8.497441926,8.497441926,8.497441926,8.497441926
2000/11/8,8.519947841,8.519947841,8.519947841,8.519947841
2000/11/9,8.545668045,8.545668045,8.545668045,8.545668045
2000/11/10,8.503872467,8.503872467,8.503872467,8.503872467
2000/11/11,8.503872467,8.503872467,8.503872467,8.503872467
2000/11/12,8.503872467,8.503872467,8.503872467,8.503872467
2000/11/13,8.497441926,8.497441926,8.497441926,8.497441926
2000/11/14,8.51673257,8.51673257,8.51673257,8.51673257
2000/11/15,8.523163112,8.523163112,8.523163112,8.523163112
2000/11/16,8.545668045,8.545668045,8.545668045,8.545668045
2000/11/17,8.526378382,8.542453756,8.526378382,8.542453756
2000/11/18,8.526378382,8.542453756,8.526378382,8.542453756
2000/11/19,8.526378382,8.542453756,8.526378382,8.542453756
2000/11/20,8.561743419,8.561743419,8.561743419,8.561743419
2000/11/21,8.542453756,8.542453756,8.542453756,8.542453756
2000/11/22,8.561743419,8.561743419,8.561743419,8.561743419
2000/11/23,8.561743419,8.561743419,8.561743419,8.561743419
2000/11/24,8.561743419,8.561743419,8.561743419,8.561743419
2000/11/25,8.561743419,8.561743419,8.561743419,8.561743419
2000/11/26,8.561743419,8.561743419,8.561743419,8.561743419
2000/11/27,8.683916844,8.683916844,8.683916844,8.683916844
2000/11/28,8.674271032,8.674271032,8.674271032,8.674271032
2000/11/29,8.667841471,8.683916844,8.545668045,8.56495869
2000/11/30,8.56495869,8.687132115,8.558529129,8.683916844
2000/12/1,8.671056742,8.745003067,8.632475454,8.638905995
2000/12/2,8.671056742,8.745003067,8.632475454,8.638905995
2000/12/3,8.671056742,8.745003067,8.632475454,8.638905995
2000/12/4,8.71285232,8.745003067,8.680701574,8.703207489
2000/12/5,8.709637049,8.71285232,8.677486303,8.693561676
2000/12/6,8.71285232,8.818949391,8.699992218,8.818949391
2000/12/7,8.818949391,8.873606053,8.764293711,8.783584355
2000/12/8,8.767508982,8.777153813,8.751433608,8.751433608
2000/12/9,8.767508982,8.777153813,8.751433608,8.751433608
2000/12/10,8.767508982,8.777153813,8.751433608,8.751433608
2000/12/11,8.703207489,8.703207489,8.654981369,8.687132115
2000/12/12,8.690346405,8.690346405,8.6646262,8.690346405
2000/12/13,8.680701574,8.680701574,8.619615351,8.635690725
2000/12/14,8.635690725,8.648550827,8.61640008,8.648550827
2000/12/15,8.654981369,8.693561676,8.654981369,8.693561676
2000/12/16,8.654981369,8.693561676,8.654981369,8.693561676
2000/12/17,8.654981369,8.693561676,8.654981369,8.693561676
2000/12/18,8.680701574,8.680701574,8.671056742,8.671056742
2000/12/19,8.671056742,8.671056742,8.648550827,8.671056742
2000/12/20,8.76107844,8.76107844,8.745003067,8.76107844
2000/12/21,8.777153813,8.799659728,8.777153813,8.799659728
2000/12/22,8.799659728,8.80930456,8.799659728,8.799659728
2000/12/23,8.799659728,8.80930456,8.799659728,8.799659728
2000/12/24,8.799659728,8.80930456,8.799659728,8.799659728
2000/12/25,8.799659728,8.80930456,8.799659728,8.799659728
2000/12/26,8.783584355,8.835024765,8.783584355,8.812519831
2000/12/27,8.825379933,8.847885848,8.825379933,8.847885848
2000/12/28,8.783584355,8.783584355,8.735358235,8.735358235
2000/12/29,8.745003067,8.745003067,8.745003067,8.745003067
2000/12/30,8.745003067,8.745003067,8.745003067,8.745003067
2000/12/31,8.745003067,8.745003067,8.745003067,8.745003067
2001/1/1,8.745003067,8.745003067,8.745003067,8.745003067
2001/1/2,8.629260183,8.629260183,8.629260183,8.629260183
2001/1/3,8.61640008,8.61640008,8.61640008,8.61640008
2001/1/4,8.593894165,8.593894165,8.593894165,8.593894165
2001/1/5,8.61640008,8.61640008,8.61640008,8.61640008
2001/1/6,8.61640008,8.61640008,8.61640008,8.61640008
2001/1/7,8.61640008,8.61640008,8.61640008,8.61640008
2001/1/8,8.61640008,8.61640008,8.61640008,8.61640008
2001/1/9,8.600324707,8.600324707,8.600324707,8.600324707
2001/1/10,8.510303009,8.510303009,8.510303009,8.510303009
2001/1/11,8.487797094,8.487797094,8.487797094,8.487797094
2001/1/12,8.484581823,8.484581823,8.484581823,8.484581823
2001/1/13,8.484581823,8.484581823,8.484581823,8.484581823
2001/1/14,8.484581823,8.484581823,8.484581823,8.484581823
2001/1/15,8.484581823,8.484581823,8.484581823,8.484581823
2001/1/16,8.465291179,8.465291179,8.465291179,8.465291179
2001/1/17,8.462076889,8.462076889,8.462076889,8.462076889
2001/1/18,8.494227636,8.494227636,8.494227636,8.494227636
2001/1/19,8.497441926,8.497441926,8.497441926,8.497441926
2001/1/20,8.497441926,8.497441926,8.497441926,8.497441926
2001/1/21,8.497441926,8.497441926,8.497441926,8.497441926
2001/1/22,8.56495869,8.56495869,8.56495869,8.56495869
2001/1/23,8.555313858,8.555313858,8.555313858,8.555313858
2001/1/24,8.497441926,8.497441926,8.497441926,8.497441926
2001/1/25,8.503872467,8.503872467,8.503872467,8.503872467
2001/1/26,8.449215806,8.449215806,8.449215806,8.449215806
2001/1/27,8.449215806,8.449215806,8.449215806,8.449215806
2001/1/28,8.449215806,8.449215806,8.449215806,8.449215806
2001/1/29,8.449215806,8.449215806,8.449215806,8.449215806
2001/1/30,8.452431077,8.571389231,8.452431077,8.536023214
2001/1/31,8.526378382,8.552098587,8.478152263,8.539238485
2001/2/1,8.561743419,8.645335556,8.561743419,8.632475454
2001/2/2,8.61640008,8.622830622,8.568173961,8.587464605
2001/2/3,8.61640008,8.622830622,8.568173961,8.587464605
2001/2/4,8.61640008,8.622830622,8.568173961,8.587464605
2001/2/5,8.523163112,8.545668045,8.523163112,8.526378382
2001/2/6,8.484581823,8.484581823,8.417065059,8.465291179
2001/2/7,8.449215806,8.471721721,8.436355703,8.449215806
2001/2/8,8.471721721,8.471721721,8.352763566,8.362409379
2001/2/9,8.375269481,8.375269481,8.327043361,8.355978837
2001/2/10,8.375269481,8.375269481,8.327043361,8.355978837
2001/2/11,8.375269481,8.375269481,8.327043361,8.355978837
2001/2/12,8.439570974,8.439570974,8.362409379,8.381700023
2001/2/13,8.391344854,8.391344854,8.391344854,8.368838939
2001/2/14,8.359194108,8.359194108,8.339903464,8.339903464
2001/2/15,8.343118735,8.343118735,8.201655646,8.201655646
2001/2/16,8.198440375,8.310967988,8.198440375,8.301323156
2001/2/17,8.198440375,8.310967988,8.198440375,8.301323156
